PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
DNK,1,1890,1890,1,1,5789,O,.,.,.,14,1
DNK,1,1890,1890,2,1,5480,O,.,.,.,14,1
DNK,1,1890,1890,3,1,5951,O,.,.,.,14,1
DNK,1,1890,1890,4,1,5421,O,.,.,.,14,1
DNK,1,1890,1890,5,1,5684,O,.,.,.,14,1
DNK,1,1890,1890,6,1,5353,O,.,.,.,14,1
DNK,1,1890,1890,7,1,5494,O,.,.,.,14,1
DNK,1,1890,1890,8,1,5755,O,.,.,.,14,1
DNK,1,1890,1890,9,1,5618,O,.,.,.,14,1
DNK,1,1890,1890,10,1,5182,O,.,.,.,14,1
DNK,1,1890,1890,11,1,5028,O,.,.,.,14,1
DNK,1,1890,1890,12,1,5621,O,.,.,.,14,1
DNK,1,1890,1890,TOT,1,66376,O,.,.,.,14,1
DNK,1,1891,1891,1,1,6110,O,.,.,.,14,1
DNK,1,1891,1891,2,1,5491,O,.,.,.,14,1
DNK,1,1891,1891,3,1,6157,O,.,.,.,14,1
DNK,1,1891,1891,4,1,6060,O,.,.,.,14,1
DNK,1,1891,1891,5,1,5664,O,.,.,.,14,1
DNK,1,1891,1891,6,1,5416,O,.,.,.,14,1
DNK,1,1891,1891,7,1,5410,O,.,.,.,14,1
DNK,1,1891,1891,8,1,5526,O,.,.,.,14,1
DNK,1,1891,1891,9,1,5657,O,.,.,.,14,1
DNK,1,1891,1891,10,1,5497,O,.,.,.,14,1
DNK,1,1891,1891,11,1,5337,O,.,.,.,14,1
DNK,1,1891,1891,12,1,5612,O,.,.,.,14,1
DNK,1,1891,1891,TOT,1,67937,O,.,.,.,14,1
DNK,1,1892,1892,1,1,5656,O,.,.,.,14,1
DNK,1,1892,1892,2,1,5222,O,.,.,.,14,1
DNK,1,1892,1892,3,1,5850,O,.,.,.,14,1
DNK,1,1892,1892,4,1,5636,O,.,.,.,14,1
DNK,1,1892,1892,5,1,5520,O,.,.,.,14,1
DNK,1,1892,1892,6,1,5340,O,.,.,.,14,1
DNK,1,1892,1892,7,1,5382,O,.,.,.,14,1
DNK,1,1892,1892,8,1,5429,O,.,.,.,14,1
DNK,1,1892,1892,9,1,5036,O,.,.,.,14,1
DNK,1,1892,1892,10,1,5185,O,.,.,.,14,1
DNK,1,1892,1892,11,1,5354,O,.,.,.,14,1
DNK,1,1892,1892,12,1,5858,O,.,.,.,14,1
DNK,1,1892,1892,TOT,1,65468,O,.,.,.,14,1
DNK,1,1893,1893,1,1,6014,O,.,.,.,14,1
DNK,1,1893,1893,2,1,5665,O,.,.,.,14,1
DNK,1,1893,1893,3,1,6097,O,.,.,.,14,1
DNK,1,1893,1893,4,1,5887,O,.,.,.,14,1
DNK,1,1893,1893,5,1,5902,O,.,.,.,14,1
DNK,1,1893,1893,6,1,5539,O,.,.,.,14,1
DNK,1,1893,1893,7,1,5609,O,.,.,.,14,1
DNK,1,1893,1893,8,1,5831,O,.,.,.,14,1
DNK,1,1893,1893,9,1,5710,O,.,.,.,14,1
DNK,1,1893,1893,10,1,5576,O,.,.,.,14,1
DNK,1,1893,1893,11,1,5134,O,.,.,.,14,1
DNK,1,1893,1893,12,1,5566,O,.,.,.,14,1
DNK,1,1893,1893,TOT,1,68530,O,.,.,.,14,1
DNK,1,1894,1894,1,1,6068,O,.,.,.,14,1
DNK,1,1894,1894,2,1,5563,O,.,.,.,14,1
DNK,1,1894,1894,3,1,6174,O,.,.,.,14,1
DNK,1,1894,1894,4,1,5928,O,.,.,.,14,1
DNK,1,1894,1894,5,1,5827,O,.,.,.,14,1
DNK,1,1894,1894,6,1,5502,O,.,.,.,14,1
DNK,1,1894,1894,7,1,5605,O,.,.,.,14,1
DNK,1,1894,1894,8,1,5747,O,.,.,.,14,1
DNK,1,1894,1894,9,1,5528,O,.,.,.,14,1
DNK,1,1894,1894,10,1,5327,O,.,.,.,14,1
DNK,1,1894,1894,11,1,5146,O,.,.,.,14,1
DNK,1,1894,1894,12,1,5885,O,.,.,.,14,1
DNK,1,1894,1894,TOT,1,68300,O,.,.,.,14,1
DNK,1,1895,1895,1,1,5897,O,.,.,.,14,1
DNK,1,1895,1895,2,1,5511,O,.,.,.,14,1
DNK,1,1895,1895,3,1,6269,O,.,.,.,14,1
DNK,1,1895,1895,4,1,5845,O,.,.,.,14,1
DNK,1,1895,1895,5,1,5801,O,.,.,.,14,1
DNK,1,1895,1895,6,1,5666,O,.,.,.,14,1
DNK,1,1895,1895,7,1,5510,O,.,.,.,14,1
DNK,1,1895,1895,8,1,5789,O,.,.,.,14,1
DNK,1,1895,1895,9,1,5949,O,.,.,.,14,1
DNK,1,1895,1895,10,1,5908,O,.,.,.,14,1
DNK,1,1895,1895,11,1,5309,O,.,.,.,14,1
DNK,1,1895,1895,12,1,5417,O,.,.,.,14,1
DNK,1,1895,1895,TOT,1,68871,O,.,.,.,14,1
DNK,1,1896,1896,1,1,5605,O,.,.,.,14,1
DNK,1,1896,1896,2,1,5690,O,.,.,.,14,1
DNK,1,1896,1896,3,1,6297,O,.,.,.,14,1
DNK,1,1896,1896,4,1,5971,O,.,.,.,14,1
DNK,1,1896,1896,5,1,5847,O,.,.,.,14,1
DNK,1,1896,1896,6,1,5791,O,.,.,.,14,1
DNK,1,1896,1896,7,1,5724,O,.,.,.,14,1
DNK,1,1896,1896,8,1,6087,O,.,.,.,14,1
DNK,1,1896,1896,9,1,6152,O,.,.,.,14,1
DNK,1,1896,1896,10,1,5781,O,.,.,.,14,1
DNK,1,1896,1896,11,1,5608,O,.,.,.,14,1
DNK,1,1896,1896,12,1,5718,O,.,.,.,14,1
DNK,1,1896,1896,TOT,1,70271,O,.,.,.,14,1
DNK,1,1897,1897,1,1,5850,O,.,.,.,14,1
DNK,1,1897,1897,2,1,5595,O,.,.,.,14,1
DNK,1,1897,1897,3,1,6150,O,.,.,.,14,1
DNK,1,1897,1897,4,1,5969,O,.,.,.,14,1
DNK,1,1897,1897,5,1,6171,O,.,.,.,14,1
DNK,1,1897,1897,6,1,5684,O,.,.,.,14,1
DNK,1,1897,1897,7,1,5711,O,.,.,.,14,1
DNK,1,1897,1897,8,1,6064,O,.,.,.,14,1
DNK,1,1897,1897,9,1,6060,O,.,.,.,14,1
DNK,1,1897,1897,10,1,5720,O,.,.,.,14,1
DNK,1,1897,1897,11,1,5257,O,.,.,.,14,1
DNK,1,1897,1897,12,1,5345,O,.,.,.,14,1
DNK,1,1897,1897,TOT,1,69576,O,.,.,.,14,1
DNK,1,1898,1898,1,1,5936,O,.,.,.,14,1
DNK,1,1898,1898,2,1,5864,O,.,.,.,14,1
DNK,1,1898,1898,3,1,6371,O,.,.,.,14,1
DNK,1,1898,1898,4,1,6103,O,.,.,.,14,1
DNK,1,1898,1898,5,1,6121,O,.,.,.,14,1
DNK,1,1898,1898,6,1,5781,O,.,.,.,14,1
DNK,1,1898,1898,7,1,6081,O,.,.,.,14,1
DNK,1,1898,1898,8,1,6186,O,.,.,.,14,1
DNK,1,1898,1898,9,1,6075,O,.,.,.,14,1
DNK,1,1898,1898,10,1,5812,O,.,.,.,14,1
DNK,1,1898,1898,11,1,5547,O,.,.,.,14,1
DNK,1,1898,1898,12,1,5793,O,.,.,.,14,1
DNK,1,1898,1898,TOT,1,71670,O,.,.,.,14,1
DNK,1,1899,1899,1,1,5865,O,.,.,.,14,1
DNK,1,1899,1899,2,1,5609,O,.,.,.,14,1
DNK,1,1899,1899,3,1,6375,O,.,.,.,14,1
DNK,1,1899,1899,4,1,6137,O,.,.,.,14,1
DNK,1,1899,1899,5,1,6158,O,.,.,.,14,1
DNK,1,1899,1899,6,1,5946,O,.,.,.,14,1
DNK,1,1899,1899,7,1,5872,O,.,.,.,14,1
DNK,1,1899,1899,8,1,6187,O,.,.,.,14,1
DNK,1,1899,1899,9,1,6147,O,.,.,.,14,1
DNK,1,1899,1899,10,1,5897,O,.,.,.,14,1
DNK,1,1899,1899,11,1,5509,O,.,.,.,14,1
DNK,1,1899,1899,12,1,5653,O,.,.,.,14,1
DNK,1,1899,1899,TOT,1,71355,O,.,.,.,14,1
DNK,1,1900,1900,1,1,5859,O,.,.,.,14,1
DNK,1,1900,1900,2,1,5854,O,.,.,.,14,1
DNK,1,1900,1900,3,1,6830,O,.,.,.,14,1
DNK,1,1900,1900,4,1,6267,O,.,.,.,14,1
DNK,1,1900,1900,5,1,6253,O,.,.,.,14,1
DNK,1,1900,1900,6,1,5728,O,.,.,.,14,1
DNK,1,1900,1900,7,1,6127,O,.,.,.,14,1
DNK,1,1900,1900,8,1,6150,O,.,.,.,14,1
DNK,1,1900,1900,9,1,6188,O,.,.,.,14,1
DNK,1,1900,1900,10,1,6003,O,.,.,.,14,1
DNK,1,1900,1900,11,1,5472,O,.,.,.,14,1
DNK,1,1900,1900,12,1,5398,O,.,.,.,14,1
DNK,1,1900,1900,TOT,1,72129,O,.,.,.,14,1
DNK,1,1901,1901,1,1,5734,O,.,.,.,1,1
DNK,1,1901,1901,2,1,5546,O,.,.,.,1,1
DNK,1,1901,1901,3,1,6760,O,.,.,.,1,1
DNK,1,1901,1901,4,1,6469,O,.,.,.,1,1
DNK,1,1901,1901,5,1,6465,O,.,.,.,1,1
DNK,1,1901,1901,6,1,6129,O,.,.,.,1,1
DNK,1,1901,1901,7,1,6131,O,.,.,.,1,1
DNK,1,1901,1901,8,1,6270,O,.,.,.,1,1
DNK,1,1901,1901,9,1,6195,O,.,.,.,1,1
DNK,1,1901,1901,10,1,5926,O,.,.,.,1,1
DNK,1,1901,1901,11,1,5726,O,.,.,.,1,1
