PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
FRATNP,90,1861,.,1,1,84437,O,.,.,.,8,1
FRATNP,90,1861,.,2,1,84015,O,.,.,.,8,1
FRATNP,90,1861,.,3,1,95039,O,.,.,.,8,1
FRATNP,90,1861,.,4,1,93126,O,.,.,.,8,1
FRATNP,90,1861,.,5,1,90674,O,.,.,.,8,1
FRATNP,90,1861,.,6,1,79875,O,.,.,.,8,1
FRATNP,90,1861,.,7,1,79326,O,.,.,.,8,1
FRATNP,90,1861,.,8,1,78721,O,.,.,.,8,1
FRATNP,90,1861,.,9,1,79412,O,.,.,.,8,1
FRATNP,90,1861,.,10,1,80231,O,.,.,.,8,1
FRATNP,90,1861,.,11,1,79885,O,.,.,.,8,1
FRATNP,90,1861,.,12,1,80337,O,.,.,.,8,1
FRATNP,90,1861,.,TOT,1,1005078,O,.,.,.,8,1
FRATNP,90,1862,.,1,1,85881,O,.,.,.,8,1
FRATNP,90,1862,.,2,1,82523,O,.,.,.,8,1
FRATNP,90,1862,.,3,1,91722,O,.,.,.,8,1
FRATNP,90,1862,.,4,1,85783,O,.,.,.,8,1
FRATNP,90,1862,.,5,1,84160,O,.,.,.,8,1
FRATNP,90,1862,.,6,1,75828,O,.,.,.,8,1
FRATNP,90,1862,.,7,1,80030,O,.,.,.,8,1
FRATNP,90,1862,.,8,1,80115,O,.,.,.,8,1
FRATNP,90,1862,.,9,1,81738,O,.,.,.,8,1
FRATNP,90,1862,.,10,1,81191,O,.,.,.,8,1
FRATNP,90,1862,.,11,1,81239,O,.,.,.,8,1
FRATNP,90,1862,.,12,1,84957,O,.,.,.,8,1
FRATNP,90,1862,.,TOT,1,995167,O,.,.,.,8,1
FRATNP,90,1863,.,1,1,89634,O,.,.,.,8,1
FRATNP,90,1863,.,2,1,85573,O,.,.,.,8,1
FRATNP,90,1863,.,3,1,93617,O,.,.,.,8,1
FRATNP,90,1863,.,4,1,88084,O,.,.,.,8,1
FRATNP,90,1863,.,5,1,85576,O,.,.,.,8,1
FRATNP,90,1863,.,6,1,79136,O,.,.,.,8,1
FRATNP,90,1863,.,7,1,80936,O,.,.,.,8,1
FRATNP,90,1863,.,8,1,81884,O,.,.,.,8,1
FRATNP,90,1863,.,9,1,79862,O,.,.,.,8,1
FRATNP,90,1863,.,10,1,82305,O,.,.,.,8,1
FRATNP,90,1863,.,11,1,83141,O,.,.,.,8,1
FRATNP,90,1863,.,12,1,83046,O,.,.,.,8,1
FRATNP,90,1863,.,TOT,1,1012794,O,.,.,.,8,1
FRATNP,90,1864,.,1,1,91822,O,.,.,.,8,1
FRATNP,90,1864,.,2,1,89416,O,.,.,.,8,1
FRATNP,90,1864,.,3,1,92815,O,.,.,.,8,1
FRATNP,90,1864,.,4,1,85462,O,.,.,.,8,1
FRATNP,90,1864,.,5,1,82831,O,.,.,.,8,1
FRATNP,90,1864,.,6,1,75738,O,.,.,.,8,1
FRATNP,90,1864,.,7,1,81110,O,.,.,.,8,1
FRATNP,90,1864,.,8,1,82519,O,.,.,.,8,1
FRATNP,90,1864,.,9,1,80946,O,.,.,.,8,1
FRATNP,90,1864,.,10,1,81984,O,.,.,.,8,1
FRATNP,90,1864,.,11,1,79481,O,.,.,.,8,1
FRATNP,90,1864,.,12,1,81756,O,.,.,.,8,1
FRATNP,90,1864,.,TOT,1,1005880,O,.,.,.,8,1
FRATNP,90,1865,.,1,1,89666,O,.,.,.,8,1
FRATNP,90,1865,.,2,1,85200,O,.,.,.,8,1
FRATNP,90,1865,.,3,1,93050,O,.,.,.,8,1
FRATNP,90,1865,.,4,1,90360,O,.,.,.,8,1
FRATNP,90,1865,.,5,1,85131,O,.,.,.,8,1
FRATNP,90,1865,.,6,1,78302,O,.,.,.,8,1
FRATNP,90,1865,.,7,1,81942,O,.,.,.,8,1
FRATNP,90,1865,.,8,1,80979,O,.,.,.,8,1
FRATNP,90,1865,.,9,1,81274,O,.,.,.,8,1
FRATNP,90,1865,.,10,1,81803,O,.,.,.,8,1
FRATNP,90,1865,.,11,1,79191,O,.,.,.,8,1
FRATNP,90,1865,.,12,1,78855,O,.,.,.,8,1
FRATNP,90,1865,.,TOT,1,1005753,O,.,.,.,8,1
FRATNP,90,1866,.,1,1,88111,O,.,.,.,8,1
FRATNP,90,1866,.,2,1,84526,O,.,.,.,8,1
FRATNP,90,1866,.,3,1,93537,O,.,.,.,8,1
FRATNP,90,1866,.,4,1,86969,O,.,.,.,8,1
FRATNP,90,1866,.,5,1,84460,O,.,.,.,8,1
FRATNP,90,1866,.,6,1,78999,O,.,.,.,8,1
FRATNP,90,1866,.,7,1,80268,O,.,.,.,8,1
FRATNP,90,1866,.,8,1,81016,O,.,.,.,8,1
FRATNP,90,1866,.,9,1,81038,O,.,.,.,8,1
FRATNP,90,1866,.,10,1,83532,O,.,.,.,8,1
FRATNP,90,1866,.,11,1,82186,O,.,.,.,8,1
FRATNP,90,1866,.,12,1,81616,O,.,.,.,8,1
FRATNP,90,1866,.,TOT,1,1006258,O,.,.,.,8,1
FRATNP,90,1867,.,1,1,88366,O,.,.,.,8,1
FRATNP,90,1867,.,2,1,85034,O,.,.,.,8,1
FRATNP,90,1867,.,3,1,94802,O,.,.,.,8,1
FRATNP,90,1867,.,4,1,87239,O,.,.,.,8,1
FRATNP,90,1867,.,5,1,86584,O,.,.,.,8,1
FRATNP,90,1867,.,6,1,79003,O,.,.,.,8,1
FRATNP,90,1867,.,7,1,81877,O,.,.,.,8,1
FRATNP,90,1867,.,8,1,82344,O,.,.,.,8,1
FRATNP,90,1867,.,9,1,80313,O,.,.,.,8,1
FRATNP,90,1867,.,10,1,80690,O,.,.,.,8,1
FRATNP,90,1867,.,11,1,81372,O,.,.,.,8,1
FRATNP,90,1867,.,12,1,81111,O,.,.,.,8,1
FRATNP,90,1867,.,TOT,1,1008735,O,.,.,.,8,1
FRATNP,90,1868,.,1,1,84620,O,.,.,.,8,1
FRATNP,90,1868,.,2,1,84327,O,.,.,.,8,1
FRATNP,90,1868,.,3,1,90856,O,.,.,.,8,1
FRATNP,90,1868,.,4,1,85405,O,.,.,.,8,1
FRATNP,90,1868,.,5,1,86111,O,.,.,.,8,1
FRATNP,90,1868,.,6,1,75922,O,.,.,.,8,1
FRATNP,90,1868,.,7,1,79433,O,.,.,.,8,1
FRATNP,90,1868,.,8,1,79825,O,.,.,.,8,1
FRATNP,90,1868,.,9,1,79972,O,.,.,.,8,1
FRATNP,90,1868,.,10,1,78391,O,.,.,.,8,1
FRATNP,90,1868,.,11,1,79887,O,.,.,.,8,1
FRATNP,90,1868,.,12,1,79391,O,.,.,.,8,1
FRATNP,90,1868,.,TOT,1,984140,O,.,.,.,8,1
FRATNP,30,1869,.,1,1,85547,O,.,.,.,8,1
FRATNP,30,1869,.,2,1,82651,O,.,.,.,8,1
FRATNP,30,1869,.,3,1,90637,O,.,.,.,8,1
FRATNP,30,1869,.,4,1,82776,O,.,.,.,8,1
FRATNP,30,1869,.,5,1,80802,O,.,.,.,8,1
FRATNP,30,1869,.,6,1,77367,O,.,.,.,8,1
FRATNP,30,1869,.,7,1,82497,O,.,.,.,8,1
FRATNP,30,1869,.,8,1,83994,O,.,.,.,8,1
FRATNP,30,1869,.,9,1,83293,O,.,.,.,8,1
FRATNP,30,1869,.,10,1,85308,O,.,.,.,8,1
FRATNP,30,1869,.,11,1,83212,O,.,.,.,8,1
FRATNP,30,1869,.,12,1,81696,O,.,.,.,8,1
FRATNP,30,1869,.,TOT,1,999780,O,.,.,.,8,1
FRATNP,30,1870,.,1,1,89962,O,.,.,.,8,1
FRATNP,30,1870,.,2,1,86854,O,.,.,.,8,1
FRATNP,30,1870,.,3,1,92409,O,.,.,.,8,1
FRATNP,30,1870,.,4,1,87837,O,.,.,.,8,1
FRATNP,30,1870,.,5,1,84568,O,.,.,.,8,1
FRATNP,30,1870,.,6,1,78057,O,.,.,.,8,1
FRATNP,30,1870,.,7,1,80897,O,.,.,.,8,1
FRATNP,30,1870,.,8,1,79672,O,.,.,.,8,1
FRATNP,30,1870,.,9,1,78856,O,.,.,.,8,1
FRATNP,30,1870,.,10,1,79625,O,.,.,.,8,1
FRATNP,30,1870,.,11,1,77791,O,.,.,.,8,1
FRATNP,30,1870,.,12,1,79341,O,.,.,.,8,1
FRATNP,30,1870,.,TOT,1,995869,O,.,.,.,8,1
FRATNP,30,1871,.,1,1,84095,O,.,.,.,8,1
FRATNP,30,1871,.,2,1,80764,O,.,.,.,8,1
FRATNP,30,1871,.,3,1,86578,O,.,.,.,8,1
FRATNP,30,1871,.,4,1,79654,O,.,.,.,8,1
FRATNP,30,1871,.,5,1,76584,O,.,.,.,8,1
FRATNP,30,1871,.,6,1,71979,O,.,.,.,8,1
FRATNP,30,1871,.,7,1,72937,O,.,.,.,8,1
FRATNP,30,1871,.,8,1,68033,O,.,.,.,8,1
FRATNP,30,1871,.,9,1,62348,O,.,.,.,8,1
FRATNP,30,1871,.,10,1,60077,O,.,.,.,8,1
FRATNP,30,1871,.,11,1,60530,O,.,.,.,8,1
FRATNP,30,1871,.,12,1,68028,O,.,.,.,8,1
FRATNP,30,1871,.,TOT,1,871607,O,.,.,.,8,1
FRATNP,30,1872,.,1,1,78543,O,.,.,.,8,1
FRATNP,30,1872,.,2,1,81297,O,.,.,.,8,1
FRATNP,30,1872,.,3,1,92021,O,.,.,.,8,1
FRATNP,30,1872,.,4,1,90652,O,.,.,.,8,1
FRATNP,30,1872,.,5,1,89147,O,.,.,.,8,1
FRATNP,30,1872,.,6,1,82265,O,.,.,.,8,1
FRATNP,30,1872,.,7,1,84735,O,.,.,.,8,1
FRATNP,30,1872,.,8,1,83670,O,.,.,.,8,1
FRATNP,30,1872,.,9,1,82935,O,.,.,.,8,1
FRATNP,30,1872,.,10,1,84621,O,.,.,.,8,1
FRATNP,30,1872,.,11,1,84908,O,.,.,.,8,1
FRATNP,30,1872,.,12,1,85302,O,.,.,.,8,1
FRATNP,30,1872,.,TOT,1,1020096,O,.,.,.,8,1
FRATNP,30,1873,.,1,1,89339,O,.,.,.,8,1
FRATNP,30,1873,.,2,1,85020,O,.,.,.,8,1
FRATNP,30,1873,.,3,1,93596,O,.,.,.,8,1
FRATNP,30,1873,.,4,1,85899,O,.,.,.,8,1
FRATNP,30,1873,.,5,1,84283,O,.,.,.,8,1
FRATNP,30,1873,.,6,1,77753,O,.,.,.,8,1
FRATNP,30,1873,.,7,1,78690,O,.,.,.,8,1
FRATNP,30,1873,.,8,1,80980,O,.,.,.,8,1
FRATNP,30,1873,.,9,1,81477,O,.,.,.,8,1
FRATNP,30,1873,.,10,1,80948,O,.,.,.,8,1
FRATNP,30,1873,.,11,1,79801,O,.,.,.,8,1
FRATNP,30,1873,.,12,1,81452,O,.,.,.,8,1
FRATNP,30,1873,.,TOT,1,999238,O,.,.,.,8,1
FRATNP,30,1874,.,1,1,84943,O,.,.,.,8,1
FRATNP,30,1874,.,2,1,82502,O,.,.,.,8,1
FRATNP,30,1874,.,3,1,92002,O,.,.,.,8,1
FRATNP,30,1874,.,4,1,86985,O,.,.,.,8,1
FRATNP,30,1874,.,5,1,83720,O,.,.,.,8,1
FRATNP,30,1874,.,6,1,79169,O,.,.,.,8,1
FRATNP,30,1874,.,7,1,81818,O,.,.,.,8,1
FRATNP,30,1874,.,8,1,82828,O,.,.,.,8,1
FRATNP,30,1874,.,9,1,84233,O,.,.,.,8,1
FRATNP,30,1874,.,10,1,84080,O,.,.,.,8,1
FRATNP,30,1874,.,11,1,83641,O,.,.,.,8,1
FRATNP,30,1874,.,12,1,83032,O,.,.,.,8,1
FRATNP,30,1874,.,TOT,1,1008953,O,.,.,.,8,1
FRATNP,30,1875,.,1,1,88050,O,.,.,.,8,1
FRATNP,30,1875,.,2,1,84189,O,.,.,.,8,1
FRATNP,30,1875,.,3,1,91185,O,.,.,.,8,1
FRATNP,30,1875,.,4,1,83351,O,.,.,.,8,1
FRATNP,30,1875,.,5,1,85257,O,.,.,.,8,1
FRATNP,30,1875,.,6,1,80360,O,.,.,.,8,1
FRATNP,30,1875,.,7,1,83757,O,.,.,.,8,1
FRATNP,30,1875,.,8,1,84982,O,.,.,.,8,1
FRATNP,30,1875,.,9,1,81956,O,.,.,.,8,1
FRATNP,30,1875,.,10,1,82325,O,.,.,.,8,1
FRATNP,30,1875,.,11,1,79341,O,.,.,.,8,1
FRATNP,30,1875,.,12,1,80943,O,.,.,.,8,1
FRATNP,30,1875,.,TOT,1,1005696,O,.,.,.,8,1
FRATNP,30,1876,.,1,1,89188,O,.,.,.,8,1
FRATNP,30,1876,.,2,1,89707,O,.,.,.,8,1
FRATNP,30,1876,.,3,1,94471,O,.,.,.,8,1
FRATNP,30,1876,.,4,1,89569,O,.,.,.,8,1
FRATNP,30,1876,.,5,1,88842,O,.,.,.,8,1
FRATNP,30,1876,.,6,1,81036,O,.,.,.,8,1
FRATNP,30,1876,.,7,1,83747,O,.,.,.,8,1
FRATNP,30,1876,.,8,1,82866,O,.,.,.,8,1
FRATNP,30,1876,.,9,1,80995,O,.,.,.,8,1
FRATNP,30,1876,.,10,1,80944,O,.,.,.,8,1
FRATNP,30,1876,.,11,1,79870,O,.,.,.,8,1
FRATNP,30,1876,.,12,1,80720,O,.,.,.,8,1
FRATNP,30,1876,.,TOT,1,1021955,O,.,.,.,8,1
FRATNP,30,1877,.,1,1,84680,O,.,.,.,8,1
FRATNP,30,1877,.,2,1,80691,O,.,.,.,8,1
FRATNP,30,1877,.,3,1,92177,O,.,.,.,8,1
FRATNP,30,1877,.,4,1,89062,O,.,.,.,8,1
FRATNP,30,1877,.,5,1,83393,O,.,.,.,8,1
FRATNP,30,1877,.,6,1,76886,O,.,.,.,8,1
FRATNP,30,1877,.,7,1,82644,O,.,.,.,8,1
FRATNP,30,1877,.,8,1,83522,O,.,.,.,8,1
FRATNP,30,1877,.,9,1,81364,O,.,.,.,8,1
FRATNP,30,1877,.,10,1,83378,O,.,.,.,8,1
FRATNP,30,1877,.,11,1,77698,O,.,.,.,8,1
FRATNP,30,1877,.,12,1,82523,O,.,.,.,8,1
FRATNP,30,1877,.,TOT,1,998018,O,.,.,.,8,1
FRATNP,30,1878,.,1,1,85056,O,.,.,.,8,1
FRATNP,30,1878,.,2,1,82429,O,.,.,.,8,1
FRATNP,30,1878,.,3,1,90092,O,.,.,.,8,1
FRATNP,30,1878,.,4,1,86146,O,.,.,.,8,1
FRATNP,30,1878,.,5,1,84255,O,.,.,.,8,1
FRATNP,30,1878,.,6,1,79302,O,.,.,.,8,1
FRATNP,30,1878,.,7,1,81146,O,.,.,.,8,1
FRATNP,30,1878,.,8,1,81188,O,.,.,.,8,1
FRATNP,30,1878,.,9,1,80052,O,.,.,.,8,1
FRATNP,30,1878,.,10,1,79852,O,.,.,.,8,1
FRATNP,30,1878,.,11,1,79401,O,.,.,.,8,1
FRATNP,30,1878,.,12,1,81041,O,.,.,.,8,1
FRATNP,30,1878,.,TOT,1,989960,O,.,.,.,8,1
FRATNP,30,1879,.,1,1,83499,O,.,.,.,8,1
FRATNP,30,1879,.,2,1,81700,O,.,.,.,8,1
FRATNP,30,1879,.,3,1,88972,O,.,.,.,8,1
FRATNP,30,1879,.,4,1,85563,O,.,.,.,8,1
FRATNP,30,1879,.,5,1,84176,O,.,.,.,8,1
FRATNP,30,1879,.,6,1,79301,O,.,.,.,8,1
FRATNP,30,1879,.,7,1,80563,O,.,.,.,8,1
FRATNP,30,1879,.,8,1,82066,O,.,.,.,8,1
FRATNP,30,1879,.,9,1,80857,O,.,.,.,8,1
FRATNP,30,1879,.,10,1,80856,O,.,.,.,8,1
FRATNP,30,1879,.,11,1,78862,O,.,.,.,8,1
FRATNP,30,1879,.,12,1,81841,O,.,.,.,8,1
FRATNP,30,1879,.,TOT,1,988256,O,.,.,.,8,1
FRATNP,30,1880,.,1,1,82988,O,.,.,.,8,1
FRATNP,30,1880,.,2,1,83517,O,.,.,.,8,1
FRATNP,30,1880,.,3,1,90603,O,.,.,.,8,1
FRATNP,30,1880,.,4,1,85281,O,.,.,.,8,1
FRATNP,30,1880,.,5,1,85167,O,.,.,.,8,1
FRATNP,30,1880,.,6,1,78111,O,.,.,.,8,1
FRATNP,30,1880,.,7,1,79495,O,.,.,.,8,1
FRATNP,30,1880,.,8,1,79661,O,.,.,.,8,1
FRATNP,30,1880,.,9,1,75790,O,.,.,.,8,1
FRATNP,30,1880,.,10,1,76018,O,.,.,.,8,1
FRATNP,30,1880,.,11,1,74465,O,.,.,.,8,1
FRATNP,30,1880,.,12,1,79102,O,.,.,.,8,1
FRATNP,30,1880,.,TOT,1,970198,O,.,.,.,8,1
FRATNP,30,1881,.,1,1,84111,O,.,.,.,8,1
FRATNP,30,1881,.,2,1,79854,O,.,.,.,8,1
FRATNP,30,1881,.,3,1,88692,O,.,.,.,8,1
FRATNP,30,1881,.,4,1,85700,O,.,.,.,8,1
FRATNP,30,1881,.,5,1,83750,O,.,.,.,8,1
FRATNP,30,1881,.,6,1,77542,O,.,.,.,8,1
FRATNP,30,1881,.,7,1,81352,O,.,.,.,8,1
FRATNP,30,1881,.,8,1,81410,O,.,.,.,8,1
FRATNP,30,1881,.,9,1,80495,O,.,.,.,8,1
FRATNP,30,1881,.,10,1,81118,O,.,.,.,8,1
FRATNP,30,1881,.,11,1,80044,O,.,.,.,8,1
FRATNP,30,1881,.,12,1,83151,O,.,.,.,8,1
FRATNP,30,1881,.,TOT,1,987219,O,.,.,.,8,1
FRATNP,30,1882,.,1,1,86112,O,.,.,.,8,1
FRATNP,30,1882,.,2,1,82494,O,.,.,.,8,1
FRATNP,30,1882,.,3,1,88344,O,.,.,.,8,1
FRATNP,30,1882,.,4,1,83450,O,.,.,.,8,1
FRATNP,30,1882,.,5,1,82318,O,.,.,.,8,1
FRATNP,30,1882,.,6,1,76985,O,.,.,.,8,1
FRATNP,30,1882,.,7,1,81177,O,.,.,.,8,1
FRATNP,30,1882,.,8,1,81753,O,.,.,.,8,1
FRATNP,30,1882,.,9,1,80002,O,.,.,.,8,1
FRATNP,30,1882,.,10,1,81317,O,.,.,.,8,1
FRATNP,30,1882,.,11,1,79021,O,.,.,.,8,1
FRATNP,30,1882,.,12,1,82108,O,.,.,.,8,1
FRATNP,30,1882,.,TOT,1,985081,O,.,.,.,8,1
FRATNP,30,1883,.,1,1,85859,O,.,.,.,8,1
FRATNP,30,1883,.,2,1,81644,O,.,.,.,8,1
FRATNP,30,1883,.,3,1,89044,O,.,.,.,8,1
FRATNP,30,1883,.,4,1,84927,O,.,.,.,8,1
FRATNP,30,1883,.,5,1,84277,O,.,.,.,8,1
FRATNP,30,1883,.,6,1,78879,O,.,.,.,8,1
FRATNP,30,1883,.,7,1,80933,O,.,.,.,8,1
FRATNP,30,1883,.,8,1,81415,O,.,.,.,8,1
FRATNP,30,1883,.,9,1,79663,O,.,.,.,8,1
FRATNP,30,1883,.,10,1,81296,O,.,.,.,8,1
FRATNP,30,1883,.,11,1,78593,O,.,.,.,8,1
FRATNP,30,1883,.,12,1,80072,O,.,.,.,8,1
FRATNP,30,1883,.,TOT,1,986602,O,.,.,.,8,1
FRATNP,30,1884,.,1,1,83135,O,.,.,.,8,1
FRATNP,30,1884,.,2,1,82014,O,.,.,.,8,1
FRATNP,30,1884,.,3,1,89061,O,.,.,.,8,1
FRATNP,30,1884,.,4,1,84093,O,.,.,.,8,1
FRATNP,30,1884,.,5,1,85084,O,.,.,.,8,1
FRATNP,30,1884,.,6,1,78912,O,.,.,.,8,1
FRATNP,30,1884,.,7,1,81251,O,.,.,.,8,1
FRATNP,30,1884,.,8,1,82157,O,.,.,.,8,1
FRATNP,30,1884,.,9,1,80002,O,.,.,.,8,1
FRATNP,30,1884,.,10,1,80543,O,.,.,.,8,1
FRATNP,30,1884,.,11,1,80295,O,.,.,.,8,1
FRATNP,30,1884,.,12,1,80802,O,.,.,.,8,1
FRATNP,30,1884,.,TOT,1,987349,O,.,.,.,8,1
FRATNP,30,1885,.,1,1,83742,O,.,.,.,8,1
FRATNP,30,1885,.,2,1,80286,O,.,.,.,8,1
FRATNP,30,1885,.,3,1,84535,O,.,.,.,8,1
FRATNP,30,1885,.,4,1,82701,O,.,.,.,8,1
FRATNP,30,1885,.,5,1,80978,O,.,.,.,8,1
FRATNP,30,1885,.,6,1,80093,O,.,.,.,8,1
FRATNP,30,1885,.,7,1,81090,O,.,.,.,8,1
FRATNP,30,1885,.,8,1,82570,O,.,.,.,8,1
FRATNP,30,1885,.,9,1,79722,O,.,.,.,8,1
FRATNP,30,1885,.,10,1,79834,O,.,.,.,8,1
FRATNP,30,1885,.,11,1,79063,O,.,.,.,8,1
FRATNP,30,1885,.,12,1,78300,O,.,.,.,8,1
FRATNP,30,1885,.,TOT,1,972914,O,.,.,.,8,1
FRATNP,30,1886,.,1,1,83161,O,.,.,.,8,1
FRATNP,30,1886,.,2,1,79218,O,.,.,.,8,1
FRATNP,30,1886,.,3,1,88264,O,.,.,.,8,1
FRATNP,30,1886,.,4,1,83759,O,.,.,.,8,1
FRATNP,30,1886,.,5,1,81331,O,.,.,.,8,1
FRATNP,30,1886,.,6,1,76229,O,.,.,.,8,1
FRATNP,30,1886,.,7,1,79594,O,.,.,.,8,1
FRATNP,30,1886,.,8,1,80792,O,.,.,.,8,1
FRATNP,30,1886,.,9,1,78641,O,.,.,.,8,1
FRATNP,30,1886,.,10,1,76920,O,.,.,.,8,1
FRATNP,30,1886,.,11,1,75750,O,.,.,.,8,1
FRATNP,30,1886,.,12,1,77551,O,.,.,.,8,1
FRATNP,30,1886,.,TOT,1,961210,O,.,.,.,8,1
FRATNP,30,1887,.,1,1,80262,O,.,.,.,8,1
FRATNP,30,1887,.,2,1,78105,O,.,.,.,8,1
FRATNP,30,1887,.,3,1,85412,O,.,.,.,8,1
FRATNP,30,1887,.,4,1,82012,O,.,.,.,8,1
FRATNP,30,1887,.,5,1,80620,O,.,.,.,8,1
FRATNP,30,1887,.,6,1,76306,O,.,.,.,8,1
FRATNP,30,1887,.,7,1,78561,O,.,.,.,8,1
FRATNP,30,1887,.,8,1,79038,O,.,.,.,8,1
FRATNP,30,1887,.,9,1,76791,O,.,.,.,8,1
FRATNP,30,1887,.,10,1,78013,O,.,.,.,8,1
FRATNP,30,1887,.,11,1,75840,O,.,.,.,8,1
FRATNP,30,1887,.,12,1,76739,O,.,.,.,8,1
FRATNP,30,1887,.,TOT,1,947699,O,.,.,.,8,1
FRATNP,30,1888,.,1,1,79849,O,.,.,.,8,1
FRATNP,30,1888,.,2,1,79354,O,.,.,.,8,1
FRATNP,30,1888,.,3,1,86458,O,.,.,.,8,1
FRATNP,30,1888,.,4,1,80866,O,.,.,.,8,1
FRATNP,30,1888,.,5,1,79132,O,.,.,.,8,1
FRATNP,30,1888,.,6,1,74071,O,.,.,.,8,1
FRATNP,30,1888,.,7,1,77268,O,.,.,.,8,1
FRATNP,30,1888,.,8,1,77527,O,.,.,.,8,1
FRATNP,30,1888,.,9,1,75899,O,.,.,.,8,1
FRATNP,30,1888,.,10,1,76421,O,.,.,.,8,1
FRATNP,30,1888,.,11,1,71128,O,.,.,.,8,1
FRATNP,30,1888,.,12,1,71845,O,.,.,.,8,1
