PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
NLD,1,1840,.,1,1,8712,O,.,.,.,2,1
NLD,1,1840,.,2,1,8977,O,.,.,.,2,1
NLD,1,1840,.,3,1,9664,O,.,.,.,2,1
NLD,1,1840,.,4,1,8280,O,.,.,.,2,1
NLD,1,1840,.,5,1,7889,O,.,.,.,2,1
NLD,1,1840,.,6,1,7424,O,.,.,.,2,1
NLD,1,1840,.,7,1,7302,O,.,.,.,2,1
NLD,1,1840,.,8,1,8070,O,.,.,.,2,1
NLD,1,1840,.,9,1,8685,O,.,.,.,2,1
NLD,1,1840,.,10,1,8732,O,.,.,.,2,1
NLD,1,1840,.,11,1,8341,O,.,.,.,2,1
NLD,1,1840,.,12,1,8764,O,.,.,.,2,1
NLD,1,1840,.,TOT,1,100840,O,.,.,.,2,1
NLD,1,1841,.,1,1,9153,O,.,.,.,2,1
NLD,1,1841,.,2,1,8927,O,.,.,.,2,1
NLD,1,1841,.,3,1,9613,O,.,.,.,2,1
NLD,1,1841,.,4,1,8802,O,.,.,.,2,1
NLD,1,1841,.,5,1,8203,O,.,.,.,2,1
NLD,1,1841,.,6,1,7517,O,.,.,.,2,1
NLD,1,1841,.,7,1,7628,O,.,.,.,2,1
NLD,1,1841,.,8,1,8243,O,.,.,.,2,1
NLD,1,1841,.,9,1,8669,O,.,.,.,2,1
NLD,1,1841,.,10,1,8778,O,.,.,.,2,1
NLD,1,1841,.,11,1,8707,O,.,.,.,2,1
NLD,1,1841,.,12,1,9070,O,.,.,.,2,1
NLD,1,1841,.,TOT,1,103310,O,.,.,.,2,1
NLD,1,1842,.,1,1,9776,O,.,.,.,2,1
NLD,1,1842,.,2,1,9038,O,.,.,.,2,1
NLD,1,1842,.,3,1,9530,O,.,.,.,2,1
NLD,1,1842,.,4,1,8409,O,.,.,.,2,1
NLD,1,1842,.,5,1,8032,O,.,.,.,2,1
NLD,1,1842,.,6,1,7249,O,.,.,.,2,1
NLD,1,1842,.,7,1,7056,O,.,.,.,2,1
NLD,1,1842,.,8,1,8344,O,.,.,.,2,1
NLD,1,1842,.,9,1,8359,O,.,.,.,2,1
NLD,1,1842,.,10,1,8502,O,.,.,.,2,1
NLD,1,1842,.,11,1,8029,O,.,.,.,2,1
NLD,1,1842,.,12,1,8399,O,.,.,.,2,1
NLD,1,1842,.,TOT,1,100723,O,.,.,.,2,1
NLD,1,1843,.,1,1,9356,O,.,.,.,2,1
NLD,1,1843,.,2,1,8999,O,.,.,.,2,1
NLD,1,1843,.,3,1,9250,O,.,.,.,2,1
NLD,1,1843,.,4,1,7920,O,.,.,.,2,1
NLD,1,1843,.,5,1,7455,O,.,.,.,2,1
NLD,1,1843,.,6,1,6760,O,.,.,.,2,1
NLD,1,1843,.,7,1,7128,O,.,.,.,2,1
NLD,1,1843,.,8,1,8128,O,.,.,.,2,1
NLD,1,1843,.,9,1,8882,O,.,.,.,2,1
NLD,1,1843,.,10,1,9282,O,.,.,.,2,1
NLD,1,1843,.,11,1,8463,O,.,.,.,2,1
NLD,1,1843,.,12,1,8716,O,.,.,.,2,1
NLD,1,1843,.,TOT,1,100339,O,.,.,.,2,1
NLD,1,1844,.,1,1,9481,O,.,.,.,2,1
NLD,1,1844,.,2,1,9346,O,.,.,.,2,1
NLD,1,1844,.,3,1,9677,O,.,.,.,2,1
NLD,1,1844,.,4,1,8412,O,.,.,.,2,1
NLD,1,1844,.,5,1,7965,O,.,.,.,2,1
NLD,1,1844,.,6,1,7154,O,.,.,.,2,1
NLD,1,1844,.,7,1,7236,O,.,.,.,2,1
NLD,1,1844,.,8,1,8271,O,.,.,.,2,1
NLD,1,1844,.,9,1,9000,O,.,.,.,2,1
NLD,1,1844,.,10,1,9134,O,.,.,.,2,1
NLD,1,1844,.,11,1,8656,O,.,.,.,2,1
NLD,1,1844,.,12,1,9002,O,.,.,.,2,1
NLD,1,1844,.,TOT,1,103334,O,.,.,.,2,1
NLD,1,1845,.,1,1,9710,O,.,.,.,2,1
NLD,1,1845,.,2,1,9231,O,.,.,.,2,1
NLD,1,1845,.,3,1,10386,O,.,.,.,2,1
NLD,1,1845,.,4,1,8788,O,.,.,.,2,1
NLD,1,1845,.,5,1,8493,O,.,.,.,2,1
NLD,1,1845,.,6,1,7534,O,.,.,.,2,1
NLD,1,1845,.,7,1,7503,O,.,.,.,2,1
NLD,1,1845,.,8,1,8300,O,.,.,.,2,1
NLD,1,1845,.,9,1,8611,O,.,.,.,2,1
NLD,1,1845,.,10,1,8918,O,.,.,.,2,1
NLD,1,1845,.,11,1,8118,O,.,.,.,2,1
NLD,1,1845,.,12,1,8394,O,.,.,.,2,1
NLD,1,1845,.,TOT,1,103986,O,.,.,.,2,1
NLD,1,1846,.,1,1,9562,O,.,.,.,2,1
NLD,1,1846,.,2,1,9343,O,.,.,.,2,1
NLD,1,1846,.,3,1,9786,O,.,.,.,2,1
NLD,1,1846,.,4,1,8576,O,.,.,.,2,1
NLD,1,1846,.,5,1,7734,O,.,.,.,2,1
NLD,1,1846,.,6,1,6750,O,.,.,.,2,1
NLD,1,1846,.,7,1,6909,O,.,.,.,2,1
NLD,1,1846,.,8,1,7395,O,.,.,.,2,1
NLD,1,1846,.,9,1,7441,O,.,.,.,2,1
NLD,1,1846,.,10,1,7497,O,.,.,.,2,1
NLD,1,1846,.,11,1,7269,O,.,.,.,2,1
NLD,1,1846,.,12,1,7685,O,.,.,.,2,1
NLD,1,1846,.,TOT,1,95947,O,.,.,.,2,1
NLD,1,1847,.,1,1,8513,O,.,.,.,2,1
NLD,1,1847,.,2,1,8132,O,.,.,.,2,1
NLD,1,1847,.,3,1,8936,O,.,.,.,2,1
NLD,1,1847,.,4,1,7482,O,.,.,.,2,1
NLD,1,1847,.,5,1,6586,O,.,.,.,2,1
NLD,1,1847,.,6,1,5577,O,.,.,.,2,1
NLD,1,1847,.,7,1,5942,O,.,.,.,2,1
NLD,1,1847,.,8,1,6908,O,.,.,.,2,1
NLD,1,1847,.,9,1,7723,O,.,.,.,2,1
NLD,1,1847,.,10,1,7296,O,.,.,.,2,1
NLD,1,1847,.,11,1,6752,O,.,.,.,2,1
NLD,1,1847,.,12,1,7455,O,.,.,.,2,1
NLD,1,1847,.,TOT,1,87302,O,.,.,.,2,1
NLD,1,1848,.,1,1,7884,O,.,.,.,2,1
NLD,1,1848,.,2,1,7497,O,.,.,.,2,1
NLD,1,1848,.,3,1,7911,O,.,.,.,2,1
NLD,1,1848,.,4,1,7409,O,.,.,.,2,1
NLD,1,1848,.,5,1,7057,O,.,.,.,2,1
NLD,1,1848,.,6,1,6260,O,.,.,.,2,1
NLD,1,1848,.,7,1,7280,O,.,.,.,2,1
NLD,1,1848,.,8,1,8349,O,.,.,.,2,1
NLD,1,1848,.,9,1,7940,O,.,.,.,2,1
NLD,1,1848,.,10,1,7535,O,.,.,.,2,1
NLD,1,1848,.,11,1,7757,O,.,.,.,2,1
NLD,1,1848,.,12,1,9007,O,.,.,.,2,1
NLD,1,1848,.,TOT,1,91886,O,.,.,.,2,1
NLD,1,1849,.,1,1,9950,O,.,.,.,2,1
NLD,1,1849,.,2,1,9283,O,.,.,.,2,1
NLD,1,1849,.,3,1,10281,O,.,.,.,2,1
NLD,1,1849,.,4,1,8789,O,.,.,.,2,1
NLD,1,1849,.,5,1,8376,O,.,.,.,2,1
NLD,1,1849,.,6,1,7468,O,.,.,.,2,1
NLD,1,1849,.,7,1,7524,O,.,.,.,2,1
NLD,1,1849,.,8,1,8195,O,.,.,.,2,1
NLD,1,1849,.,9,1,8547,O,.,.,.,2,1
NLD,1,1849,.,10,1,8689,O,.,.,.,2,1
NLD,1,1849,.,11,1,8462,O,.,.,.,2,1
NLD,1,1849,.,12,1,8885,O,.,.,.,2,1
NLD,1,1849,.,TOT,1,104449,O,.,.,.,2,1
NLD,1,1850,.,1,1,9165,O,.,.,.,2,1
NLD,1,1850,.,2,1,8789,O,.,.,.,2,1
NLD,1,1850,.,3,1,9418,O,.,.,.,2,1
NLD,1,1850,.,4,1,8892,O,.,.,.,2,1
NLD,1,1850,.,5,1,8390,O,.,.,.,2,1
NLD,1,1850,.,6,1,7548,O,.,.,.,2,1
NLD,1,1850,.,7,1,8139,O,.,.,.,2,1
NLD,1,1850,.,8,1,8881,O,.,.,.,2,1
NLD,1,1850,.,9,1,9182,O,.,.,.,2,1
NLD,1,1850,.,10,1,8967,O,.,.,.,2,1
NLD,1,1850,.,11,1,8843,O,.,.,.,2,1
NLD,1,1850,.,12,1,9124,O,.,.,.,2,1
NLD,1,1850,.,TOT,1,105338,O,.,.,.,2,1
NLD,1,1851,.,1,1,9705,O,.,.,.,2,1
NLD,1,1851,.,2,1,9626,O,.,.,.,2,1
NLD,1,1851,.,3,1,10475,O,.,.,.,2,1
NLD,1,1851,.,4,1,9328,O,.,.,.,2,1
NLD,1,1851,.,5,1,8607,O,.,.,.,2,1
NLD,1,1851,.,6,1,7811,O,.,.,.,2,1
NLD,1,1851,.,7,1,8023,O,.,.,.,2,1
NLD,1,1851,.,8,1,8534,O,.,.,.,2,1
NLD,1,1851,.,9,1,8813,O,.,.,.,2,1
NLD,1,1851,.,10,1,9055,O,.,.,.,2,1
NLD,1,1851,.,11,1,8603,O,.,.,.,2,1
NLD,1,1851,.,12,1,8789,O,.,.,.,2,1
NLD,1,1851,.,TOT,1,107369,O,.,.,.,2,1
NLD,1,1852,.,1,1,9581,O,.,.,.,2,1
NLD,1,1852,.,2,1,9546,O,.,.,.,2,1
NLD,1,1852,.,3,1,10782,O,.,.,.,2,1
NLD,1,1852,.,4,1,9266,O,.,.,.,2,1
NLD,1,1852,.,5,1,9045,O,.,.,.,2,1
NLD,1,1852,.,6,1,7992,O,.,.,.,2,1
NLD,1,1852,.,7,1,8303,O,.,.,.,2,1
NLD,1,1852,.,8,1,8980,O,.,.,.,2,1
NLD,1,1852,.,9,1,9356,O,.,.,.,2,1
NLD,1,1852,.,10,1,9247,O,.,.,.,2,1
NLD,1,1852,.,11,1,8962,O,.,.,.,2,1
NLD,1,1852,.,12,1,9007,O,.,.,.,2,1
NLD,1,1852,.,TOT,1,110067,O,.,.,.,2,1
NLD,1,1853,.,1,1,9990,O,.,.,.,2,1
NLD,1,1853,.,2,1,9671,O,.,.,.,2,1
NLD,1,1853,.,3,1,10362,O,.,.,.,2,1
NLD,1,1853,.,4,1,8812,O,.,.,.,2,1
NLD,1,1853,.,5,1,8142,O,.,.,.,2,1
NLD,1,1853,.,6,1,7304,O,.,.,.,2,1
NLD,1,1853,.,7,1,7211,O,.,.,.,2,1
NLD,1,1853,.,8,1,8270,O,.,.,.,2,1
NLD,1,1853,.,9,1,8615,O,.,.,.,2,1
NLD,1,1853,.,10,1,8913,O,.,.,.,2,1
NLD,1,1853,.,11,1,8275,O,.,.,.,2,1
NLD,1,1853,.,12,1,8732,O,.,.,.,2,1
NLD,1,1853,.,TOT,1,104297,O,.,.,.,2,1
NLD,1,1854,.,1,1,9415,O,.,.,.,2,1
NLD,1,1854,.,2,1,9316,O,.,.,.,2,1
NLD,1,1854,.,3,1,10391,O,.,.,.,2,1
NLD,1,1854,.,4,1,9257,O,.,.,.,2,1
NLD,1,1854,.,5,1,9055,O,.,.,.,2,1
NLD,1,1854,.,6,1,7531,O,.,.,.,2,1
NLD,1,1854,.,7,1,7293,O,.,.,.,2,1
NLD,1,1854,.,8,1,8202,O,.,.,.,2,1
NLD,1,1854,.,9,1,8590,O,.,.,.,2,1
NLD,1,1854,.,10,1,8646,O,.,.,.,2,1
NLD,1,1854,.,11,1,8113,O,.,.,.,2,1
NLD,1,1854,.,12,1,8435,O,.,.,.,2,1
NLD,1,1854,.,TOT,1,104244,O,.,.,.,2,1
NLD,1,1855,.,1,1,9493,O,.,.,.,2,1
NLD,1,1855,.,2,1,9259,O,.,.,.,2,1
NLD,1,1855,.,3,1,9635,O,.,.,.,2,1
NLD,1,1855,.,4,1,8645,O,.,.,.,2,1
NLD,1,1855,.,5,1,8309,O,.,.,.,2,1
NLD,1,1855,.,6,1,7423,O,.,.,.,2,1
NLD,1,1855,.,7,1,7523,O,.,.,.,2,1
NLD,1,1855,.,8,1,8768,O,.,.,.,2,1
NLD,1,1855,.,9,1,8970,O,.,.,.,2,1
NLD,1,1855,.,10,1,8921,O,.,.,.,2,1
NLD,1,1855,.,11,1,7568,O,.,.,.,2,1
NLD,1,1855,.,12,1,8301,O,.,.,.,2,1
NLD,1,1855,.,TOT,1,102815,O,.,.,.,2,1
NLD,1,1856,.,1,1,9574,O,.,.,.,2,1
NLD,1,1856,.,2,1,10113,O,.,.,.,2,1
NLD,1,1856,.,3,1,10506,O,.,.,.,2,1
NLD,1,1856,.,4,1,9224,O,.,.,.,2,1
NLD,1,1856,.,5,1,8586,O,.,.,.,2,1
NLD,1,1856,.,6,1,7391,O,.,.,.,2,1
NLD,1,1856,.,7,1,7430,O,.,.,.,2,1
NLD,1,1856,.,8,1,8149,O,.,.,.,2,1
NLD,1,1856,.,9,1,8759,O,.,.,.,2,1
NLD,1,1856,.,10,1,8837,O,.,.,.,2,1
NLD,1,1856,.,11,1,8602,O,.,.,.,2,1
NLD,1,1856,.,12,1,8837,O,.,.,.,2,1
NLD,1,1856,.,TOT,1,106008,O,.,.,.,2,1
NLD,1,1857,.,1,1,10007,O,.,.,.,2,1
NLD,1,1857,.,2,1,9481,O,.,.,.,2,1
NLD,1,1857,.,3,1,10318,O,.,.,.,2,1
NLD,1,1857,.,4,1,9458,O,.,.,.,2,1
NLD,1,1857,.,5,1,8689,O,.,.,.,2,1
NLD,1,1857,.,6,1,8043,O,.,.,.,2,1
NLD,1,1857,.,7,1,8372,O,.,.,.,2,1
NLD,1,1857,.,8,1,9343,O,.,.,.,2,1
NLD,1,1857,.,9,1,9994,O,.,.,.,2,1
NLD,1,1857,.,10,1,10184,O,.,.,.,2,1
NLD,1,1857,.,11,1,9757,O,.,.,.,2,1
NLD,1,1857,.,12,1,9780,O,.,.,.,2,1
NLD,1,1857,.,TOT,1,113426,O,.,.,.,2,1
NLD,1,1858,.,1,1,10466,O,.,.,.,2,1
NLD,1,1858,.,2,1,9948,O,.,.,.,2,1
NLD,1,1858,.,3,1,10470,O,.,.,.,2,1
NLD,1,1858,.,4,1,8786,O,.,.,.,2,1
NLD,1,1858,.,5,1,8055,O,.,.,.,2,1
NLD,1,1858,.,6,1,6952,O,.,.,.,2,1
NLD,1,1858,.,7,1,7406,O,.,.,.,2,1
NLD,1,1858,.,8,1,8080,O,.,.,.,2,1
NLD,1,1858,.,9,1,8804,O,.,.,.,2,1
NLD,1,1858,.,10,1,9094,O,.,.,.,2,1
NLD,1,1858,.,11,1,9497,O,.,.,.,2,1
NLD,1,1858,.,12,1,9288,O,.,.,.,2,1
NLD,1,1858,.,TOT,1,106846,O,.,.,.,2,1
NLD,1,1859,.,1,1,10273,O,.,.,.,2,1
NLD,1,1859,.,2,1,10375,O,.,.,.,2,1
NLD,1,1859,.,3,1,10778,O,.,.,.,2,1
NLD,1,1859,.,4,1,9675,O,.,.,.,2,1
NLD,1,1859,.,5,1,9130,O,.,.,.,2,1
NLD,1,1859,.,6,1,7970,O,.,.,.,2,1
NLD,1,1859,.,7,1,8358,O,.,.,.,2,1
NLD,1,1859,.,8,1,9661,O,.,.,.,2,1
NLD,1,1859,.,9,1,9831,O,.,.,.,2,1
NLD,1,1859,.,10,1,9861,O,.,.,.,2,1
NLD,1,1859,.,11,1,9774,O,.,.,.,2,1
NLD,1,1859,.,12,1,9883,O,.,.,.,2,1
NLD,1,1859,.,TOT,1,115569,O,.,.,.,2,1
NLD,1,1860,.,1,1,10396,O,.,.,.,2,1
NLD,1,1860,.,2,1,10438,O,.,.,.,2,1
NLD,1,1860,.,3,1,10374,O,.,.,.,2,1
NLD,1,1860,.,4,1,8607,O,.,.,.,2,1
NLD,1,1860,.,5,1,7461,O,.,.,.,2,1
NLD,1,1860,.,6,1,6453,O,.,.,.,2,1
NLD,1,1860,.,7,1,6981,O,.,.,.,2,1
NLD,1,1860,.,8,1,8377,O,.,.,.,2,1
NLD,1,1860,.,9,1,8996,O,.,.,.,2,1
NLD,1,1860,.,10,1,9573,O,.,.,.,2,1
NLD,1,1860,.,11,1,9034,O,.,.,.,2,1
NLD,1,1860,.,12,1,9157,O,.,.,.,2,1
NLD,1,1860,.,TOT,1,105847,O,.,.,.,2,1
NLD,1,1861,.,1,1,9932,O,.,.,.,2,1
NLD,1,1861,.,2,1,9808,O,.,.,.,2,1
NLD,1,1861,.,3,1,11043,O,.,.,.,2,1
NLD,1,1861,.,4,1,10769,O,.,.,.,2,1
NLD,1,1861,.,5,1,10315,O,.,.,.,2,1
NLD,1,1861,.,6,1,9022,O,.,.,.,2,1
NLD,1,1861,.,7,1,9097,O,.,.,.,2,1
NLD,1,1861,.,8,1,9727,O,.,.,.,2,1
NLD,1,1861,.,9,1,9977,O,.,.,.,2,1
NLD,1,1861,.,10,1,9773,O,.,.,.,2,1
NLD,1,1861,.,11,1,9391,O,.,.,.,2,1
NLD,1,1861,.,12,1,9827,O,.,.,.,2,1
NLD,1,1861,.,TOT,1,118681,O,.,.,.,2,1
NLD,1,1862,.,1,1,10536,O,.,.,.,2,1
NLD,1,1862,.,2,1,10175,O,.,.,.,2,1
NLD,1,1862,.,3,1,11316,O,.,.,.,2,1
NLD,1,1862,.,4,1,9685,O,.,.,.,2,1
NLD,1,1862,.,5,1,8847,O,.,.,.,2,1
NLD,1,1862,.,6,1,7567,O,.,.,.,2,1
NLD,1,1862,.,7,1,7891,O,.,.,.,2,1
NLD,1,1862,.,8,1,9044,O,.,.,.,2,1
NLD,1,1862,.,9,1,9549,O,.,.,.,2,1
NLD,1,1862,.,10,1,9401,O,.,.,.,2,1
NLD,1,1862,.,11,1,8971,O,.,.,.,2,1
NLD,1,1862,.,12,1,9786,O,.,.,.,2,1
NLD,1,1862,.,TOT,1,112768,O,.,.,.,2,1
NLD,1,1863,.,1,1,10571,O,.,.,.,2,1
NLD,1,1863,.,2,1,10592,O,.,.,.,2,1
NLD,1,1863,.,3,1,11457,O,.,.,.,2,1
NLD,1,1863,.,4,1,10537,O,.,.,.,2,1
NLD,1,1863,.,5,1,10271,O,.,.,.,2,1
NLD,1,1863,.,6,1,9496,O,.,.,.,2,1
NLD,1,1863,.,7,1,9280,O,.,.,.,2,1
NLD,1,1863,.,8,1,10292,O,.,.,.,2,1
NLD,1,1863,.,9,1,10438,O,.,.,.,2,1
NLD,1,1863,.,10,1,10671,O,.,.,.,2,1
NLD,1,1863,.,11,1,10528,O,.,.,.,2,1
NLD,1,1863,.,12,1,10625,O,.,.,.,2,1
NLD,1,1863,.,TOT,1,124758,O,.,.,.,2,1
NLD,1,1864,.,1,1,11509,O,.,.,.,2,1
NLD,1,1864,.,2,1,11258,O,.,.,.,2,1
NLD,1,1864,.,3,1,11386,O,.,.,.,2,1
NLD,1,1864,.,4,1,10393,O,.,.,.,2,1
NLD,1,1864,.,5,1,10108,O,.,.,.,2,1
NLD,1,1864,.,6,1,8911,O,.,.,.,2,1
NLD,1,1864,.,7,1,9217,O,.,.,.,2,1
NLD,1,1864,.,8,1,10239,O,.,.,.,2,1
NLD,1,1864,.,9,1,10279,O,.,.,.,2,1
NLD,1,1864,.,10,1,9985,O,.,.,.,2,1
NLD,1,1864,.,11,1,9875,O,.,.,.,2,1
NLD,1,1864,.,12,1,10635,O,.,.,.,2,1
NLD,1,1864,.,TOT,1,123795,O,.,.,.,2,1
NLD,1,1865,.,1,1,11611,O,.,.,.,2,1
NLD,1,1865,.,2,1,10965,O,.,.,.,2,1
NLD,1,1865,.,3,1,11708,O,.,.,.,2,1
NLD,1,1865,.,4,1,10734,O,.,.,.,2,1
NLD,1,1865,.,5,1,10527,O,.,.,.,2,1
NLD,1,1865,.,6,1,9395,O,.,.,.,2,1
NLD,1,1865,.,7,1,9503,O,.,.,.,2,1
NLD,1,1865,.,8,1,10050,O,.,.,.,2,1
NLD,1,1865,.,9,1,10528,O,.,.,.,2,1
NLD,1,1865,.,10,1,10718,O,.,.,.,2,1
NLD,1,1865,.,11,1,10023,O,.,.,.,2,1
