Country,Most populous city,Latitude,Country's Biggest Holiday ,Date/Month of Biggest Holiday 
Åland Islands,Mariehamm,60.0971° N,Aland's Autonomy day ,June 9
Albania,Tirana,41.3275° N,Independence day,November 28
Algeria,Algiers,36.7538° N,Independence day,July 5
American Samoa,Pago Pago,14.2732° S,flag day ,April 17
Andorra,Andorra la Vella,42.5063° N,Patron saint,September 8
Anguilla,The Valley,18.2148° N,Anguilla Day,May 30
Antigua and Barbuda,St John's,17.1274° N,Antiguan Carnival,late july 
Argentina,Buenos Aires,34.6037° S,Independence day,July 9
Armenia,Yerevan,40.1872° N,independence day,September 21
Aruba,Orangestad,12.5227° N,Christmas,December 25
Australia,Sydney,33.8688° S,Australia day,January 26
Austria,Vienna,48.2081° N,Christmas,December 24
Azerbaijan,Baku,40.4093° N,novruz,april
Bahrain,Manama,26.2235° N,national day,December 16
Barbados,Bridgetown,13.0971° N,Crop over festival,late july
Belarus,Minsk,53.9006° N,independence day,July 3
Belgium,"Antwerp (city limit), Brussels (metropolitan area)",51.2213° N,belgian national day,July 21
Bermuda,Hamilton,32.2951° N,bermuda day,late May
Bosnia and Herzegovina,Sarajevo,43.8563° N,independence day,March 1
Botswana,Gaborone,24.6580° S,independence day,September 30
Brazil,Sao Paulo,23.5558° S,Carnival,late february
British Virgin Islands,Road Town,18.4286° N,august festival,late august
Brunei Darussalam,Bandar Seri Begawan,4.8923° N,national day,February 23
Bulgaria,Sofia,42.6977° N,liberation day,March 3
Cabo Verde,Praia,14.9198° N,independence day,July 5
Canada,Toronto,43.6532° N,Canada day,July 1
Cayman Islands,George Town,19.2966° N,Discovery day ,late may
Chile,Santiago,33.4489° S,Fiestas Patrias,September 18-19
Colombia,Bogota,4.7110° N,Barranquilla carnival,march
Costa Rica,San Jose,9.9281° N,easter week ,april 
Croatia,Zagreb,45.8150° N,Dubrovnik summer festival,Late july
Cuba,Havana,23.1136° N,santiago de cuba carnival,july 
Curaçao,Willemstad,12.1039° N,Kings day ,April 27
Cyprus,Nicosia,35.1856° N,independence day,October 1
Czechia,Prague,50.0755° N,Christmas,December
Denmark,Copenhagen,55.6761° N,Christmas,December
Egypt,Cairo,30.0444° N,independence day,July 23
El Salvador,San Salvador,13.6929° N,independence day,September 15
Falkland Islands (Malvinas),Stanley,51.6928° S,liberation day,June 14
Faroe Islands,Torshavn,62.0107° N,St Olav's day,July 28
Finland,Helsinki,60.1699° N,independence day,Late june
France,Paris,48.8575° N,Bastille day,July 14
French Guiana,Cayenne,4.9380° N,victory day ,May 8
French Polynesia,Pape'ete,17.5325° S,bastille day ,July 14
Georgia,Tbilisi,41.6938° N,easter ,April 
Germany,Berlin,52.5200° N,Christmas,December 25
Gibraltar,Gibraltar,36.1408° N,national day ,September 10
Greece,Athens,37.9838° N,orthodox easter,April 
Greenland,Nuuk,64.1743° N,national day,June 21
Guadeloupe,Les Abymes,16.2714° N,bastille day,July 14
Guam,Hagatna,13.4769° N,liberation day ,July 21
Guatemala,Guatemala CIty,14.6349° N,all saints day,November 1
Guernsey,St. Peter Port,49.4598° N,liberation day,May 9
"China, Hong Kong SAR",Hong Kong,22.3193° N,chinese new year ,late january
Hungary,Budapest,47.4979° N,national day,October 23
Iceland,Reykjavik,64.1470° N,national day,June 17
Iran (Islamic Republic of),Tehran,35.7219° N,nowruz,april
Ireland,Dublin,53.3498° N,st patricks day,March 17
Isle of Man,Douglas,54.1523° N,tynwald day,july
Israel,"Tel Aviv (city limits), Jerusalem (metropolitan)",32.0853° N,passover ,april 
Italy,Rome,41.8967° N,christmas,December 25
Jamaica,Kingston,18.0179° N,independence day,August 6
Japan,Tokyo,35.6764° N,new years day,January 1
Kazakhstan,Almaty,43.2380° N,nauryz ,april 
Republic of Korea,Seoul,37.5503° N,Lunar new year,January
Kuwait,Kuwait City,29.3759° N,eid-al-fitr,april
Kyrgyzstan,Bishkek,42.8746° N,independence day,August 31
Latvia,Riga,56.9677° N,ligo,June 23
Lebanon,Beirut,33.8938° N,independence day,November 22
Libya,Tripoli,32.8877° N,independence day,December 24
Liechtenstein,Schaan,47.1667° N,national day,August 15
Lithuania,Vilnius,54.6872° N,saint johns day,June 23
Luxembourg,Luxembourg City,49.6116° N,national day,June 23
"China, Macao SAR",Macao,22.1987° N,chinese new year ,January
Malaysia,Kuala Lumpur,3.1319° N,eid-al-fitr,april
Maldives,Male,4.1753° N,independence day,July 26
Malta ,St Paul's Bay,35.9483° N,santa marija ,August 15
Martinique,Fort de France,14.6061° N,carnival ,January
Mauritius,Port Louis,20.1609° S,national day,March 12
