"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","12113.9310206738","14756.8417316047","18000.707893007","20597.9187002631","21815.6900865297","23688.8430253733","24867.7632055648","26314.7180565922","28738.9651395064","29622.2041225487","29751.5086544368","31772.5171203115","33702.2758363388","34396.9930514505","37019.0312182629","37124.8373232428","38139.9743684428","39289.5799329954","42424.1312619563","43267.5884672505","44473.7286856798","47857.9930104843","50427.7178275216","44991.2405023424","43126.720870402","46025.1678997183","44964.2013255211","46206.3023420866","46772.411920567","49150.2233425389","49120.3380944935","50907.6930151285","53847.0084842252","55662.207082223","40912.1188529362","48688.1093321204","54701.5650270379","60832.7752094493","",
"Africa Eastern and Southern","AFE","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8298.10662787544","6580.19128284738","8520.99000580828","9737.30197827841","10602.0800908158","12627.2769273063","13689.7072753114","18734.9219980106","19448.4843154881","22270.8023610632","25676.3130217841","28974.91263713","33664.6948789389","36012.4103017882","35876.1503590315","36142.2625021858","35241.9398568532","36018.4557622692","36134.4741979562","38820.5728553118","39288.6130963392","31278.9778265284","31628.3298572197","32741.1161675736","",
"Africa Western and Central","AFW","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","2.18135717835245E-05","1.96855248792411E-05","1.89746378590638E-05","1.90527640401837E-05","1.94613925626546E-05","2.31107225333159E-05","2.08686008905808E-05","2.30398859091064E-05","2.41569788020595E-05","2.71580014649561E-05","2.88968041330219E-05","5.82191800759993E-05","0.000305866716807344","0.00229201610492133","0.0511782700431494","1.09602505967615","58.9580546092354","119.490835626527","168.595396774404","1095.98151811727","5660.19397872252","11769.7708179178","38400.0783947136","74061.5988486663","105780.981432519","167037.743347847","210327.42036721","240937.522093084","307866.871220658","248824.335629007","330616.392267381","433594.408075331","485552.635034428","504287.840303421","527373.101991332","495432.597392736","567094.723070602","670163.846415719","818852.128891588","936828.939740852","947674.087681098","1289684.57446188","1464401.67061461","1686892.80456935","",
"Albania","ALB","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","5610.77351509002","5691.06430682275","5735.33964640025","5676.07139340919","5486.77898478496","5490.04945422263","5550.9877970711","5398.34706455593","5222.19457117253","5583.96477261216","4937.84348412404","4846.85272086666","15070.4441800668","37485.4359094806","55488.6492310609","69579.1559277542","105541.51424559","105239.65300429","123012.405187101","142690.793617299","162251.414442153","184123.250548253","200095.706012107","222968.295995284","243697.01536767","267031.868309576","291636.188170144","325091.74189912","366664.698773188","390752.715866234","425553.059864656","447689.053574717","459526.458582796","466324.731649288","482954.230792661","497901.727460276","511970.546236033","539644.576515326","579414.725100636","599832.590404777","583535.097402998","663903.085771923","773931.424158716","863048.098827942","",
"Andorra","AND","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","1655.65900785904","1740.91036283929","1908.33297033585","2153.78216368307","2475.31190202832","2734.45072552479","3104.69153417584","3728.98350323182","4335.74156102031","4839.69859499796","5375.90688055447","5806.80674755845","6402.9537715406","6967.01343522741","7544.16057530812","8085.93725042784","8870.85975423099","9520.02811995048","10220.7847660677","11180.6045041486","11985.3812955112","12198.9323592214","12367.4651162791","12174.0106208117","12679.2051012196","13821.3011641006","14562.8532133033","16057.5826893354","16643.6343336086","17710.3621975346","23614.0671386161","26251.1389175727","28055.0627011097","30113.835880609","31369.9293642785","32819.0025961948","34618.7095558208","35269.6117346752","33406.3117551949","31528.2281136754","32244.3188858325","33519.1494285384","32301.4550849884","31977.8173790462","33398.2939365583","34839.5544101754","36254.1389008188","36003.9586242425","36258.6147255262","36854.6172555378","32709.8733522874","35870.680414476","40277.3979047739","43294.0041555358","",
"Arab World","ARB","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","11400.3129554402","13320.0608756906","16120.2972878908","38747.1010611848","94317.526687481","107418.910355601","123323.904875411","136694.972888262","113732.802487168","130642.207870528","159139.509697745","164660.796195862","146739.027924244","127200.165141402","117517.205259434","108175.346593503","84917.8435350553","84846.4405771913","79182.3939759351","85045.0679972802","98052.3859194403","94311.5458486036","94154.8093610059","91895.343714237","93510.0601841432","99128.7496991369","103974.339034572","102724.843029591","91406.4203608645","94955.647703359","109681.0573696","101894.139795198","101925.128878551","108924.671141529","122575.986680416","142196.680043475","162848.216246431","168401.505164335","183823.939575392","138831.761258066","160476.025201587","186522.788114888","191096.614015665","191056.366534601","188698.217174159","159882.277467366","151771.210669934","155495.823071713","167795.999847269","162513.465325532","136521.057443328","159239.677495188","183254.317306409","180101.951478859","",
"Argentina","ARG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","6.4509283973424E-09","8.04810230260371E-09","1.01143928605088E-08","1.18324333987421E-08","1.65126838970185E-08","2.17911679248994E-08","2.67766475639659E-08","3.51097821405699E-08","3.9968323411121E-08","4.65346628787942E-08","5.02631512542734E-08","6.86253742392777E-08","1.12749677402443E-07","1.88810951574912E-07","2.56047292918589E-07","7.49873218078599E-07","3.89383969763966E-06","1.06324272377841E-05","2.61170166762998E-05","7.00840572173821E-05","0.000137100360232955","0.000262588201616648","0.000755507608111142","0.00372524797447084","0.0264848654491348","0.174872194137737","0.324033054675487","0.74563714245302","3.49465515555246","100.525089501554","2104.10940489776","5443.76781619807","6726.45532775479","6924.924107795","7437.56242327594","7357.6162773788","7663.21271287469","8146.78710021431","8218.99212764682","7705.54288252851","7637.01489203628","7141.47507662826","8219.44125312269","9783.12359877017","12497.8422433725","14854.3057133005","18068.3002838188","22415.1107399666","28439.5874119598","30545.4517459637","40246.3910798438","52216.3824775357","62566.5600367689","78631.1754031091","106430.803012574","136957.684573632","187428.266320106","240697.554894913","330194.818951711","479359.198789775","602094.070114013","1020012.29005223","1820229.89183557","4203155.85310516","",
